fault_type,batch,class,seed,n
drift,10,4,103,207
drift,10,5,103,197
drift,10,6,103,197
gaussian,8,1,103,9
gaussian,8,2,103,10
gaussian,8,3,103,10
gaussian,8,4,103,14
gaussian,8,5,103,42
gaussian,8,6,103,6
gaussian,9,1,103,28
gaussian,9,2,103,14
gaussian,9,3,103,30
gaussian,9,4,103,32
gaussian,9,5,103,27
gaussian,9,6,103,34
gaussian,10,1,103,193
gaussian,10,2,103,196
gaussian,10,3,103,190
gaussian,10,4,103,207
gaussian,10,5,103,197
gaussian,10,6,103,197
offset,8,1,103,9
offset,8,2,103,10
offset,8,3,103,10
offset,8,4,103,14
offset,8,5,103,42
offset,8,6,103,6
offset,9,1,103,28
offset,9,2,103,14
offset,9,3,103,30
offset,9,4,103,32
offset,9,5,103,27
offset,9,6,103,34
offset,10,1,103,193
offset,10,2,103,196
offset,10,3,103,190
offset,10,4,103,207
offset,10,5,103,197
offset,10,6,103,197
stuck_at,8,1,103,9
stuck_at,8,2,103,10
stuck_at,8,3,103,10
stuck_at,8,4,103,14
stuck_at,8,5,103,42
stuck_at,8,6,103,6
stuck_at,9,1,103,28
stuck_at,9,2,103,14
stuck_at,9,3,103,30
stuck_at,9,4,103,32
stuck_at,9,5,103,27
stuck_at,9,6,103,34
stuck_at,10,1,103,193
stuck_at,10,2,103,196
stuck_at,10,3,103,190
stuck_at,10,4,103,207
stuck_at,10,5,103,197
stuck_at,10,6,103,197
drift,8,1,104,9
drift,8,2,104,10
drift,8,3,104,10
drift,8,4,104,14
drift,8,5,104,42
drift,8,6,104,6
drift,9,1,104,28
drift,9,2,104,14
drift,9,3,104,30
drift,9,4,104,32
drift,9,5,104,27
drift,9,6,104,34
drift,10,1,104,193
drift,10,2,104,196
drift,10,3,104,190
drift,10,4,104,207
drift,10,5,104,197
drift,10,6,104,197
gaussian,8,1,104,9
gaussian,8,2,104,10
gaussian,8,3,104,10
gaussian,8,4,104,14
gaussian,8,5,104,42
gaussian,8,6,104,6
gaussian,9,1,104,28
gaussian,9,2,104,14
gaussian,9,3,104,30
gaussian,9,4,104,32
gaussian,9,5,104,27
gaussian,9,6,104,34
gaussian,10,1,104,193
gaussian,10,2,104,196
gaussian,10,3,104,190
gaussian,10,4,104,207
gaussian,10,5,104,197
gaussian,10,6,104,197
offset,8,1,104,9
offset,8,2,104,10
offset,8,3,104,10
offset,8,4,104,14
offset,8,5,104,42
offset,8,6,104,6
offset,9,1,104,28
offset,9,2,104,14
offset,9,3,104,30
offset,9,4,104,32
offset,9,5,104,27
offset,9,6,104,34
offset,10,1,104,193
offset,10,2,104,196
offset,10,3,104,190
offset,10,4,104,207
offset,10,5,104,197
offset,10,6,104,197
stuck_at,8,1,104,9
stuck_at,8,2,104,10
stuck_at,8,3,104,10
stuck_at,8,4,104,14
stuck_at,8,5,104,42
stuck_at,8,6,104,6
stuck_at,9,1,104,28
stuck_at,9,2,104,14
stuck_at,9,3,104,30
stuck_at,9,4,104,32
stuck_at,9,5,104,27
stuck_at,9,6,104,34
stuck_at,10,1,104,193
stuck_at,10,2,104,196
stuck_at,10,3,104,190
stuck_at,10,4,104,207
stuck_at,10,5,104,197
stuck_at,10,6,104,197
drift,8,1,105,9
drift,8,2,105,10
drift,8,3,105,10
drift,8,4,105,14
drift,8,5,105,42
drift,8,6,105,6
drift,9,1,105,28
drift,9,2,105,14
drift,9,3,105,30
drift,9,4,105,32
drift,9,5,105,27
drift,9,6,105,34
drift,10,1,105,193
drift,10,2,105,196
drift,10,3,105,190
drift,10,4,105,207
drift,10,5,105,197
drift,10,6,105,197
gaussian,8,1,105,9
gaussian,8,2,105,10
gaussian,8,3,105,10
gaussian,8,4,105,14
gaussian,8,5,105,42
gaussian,8,6,105,6
gaussian,9,1,105,28
gaussian,9,2,105,14
gaussian,9,3,105,30
gaussian,9,4,105,32
gaussian,9,5,105,27
gaussian,9,6,105,34
gaussian,10,1,105,193
gaussian,10,2,105,196
gaussian,10,3,105,190
gaussian,10,4,105,207
gaussian,10,5,105,197
gaussian,10,6,105,197
offset,8,1,105,9
offset,8,2,105,10
offset,8,3,105,10
offset,8,4,105,14
offset,8,5,105,42
offset,8,6,105,6
offset,9,1,105,28
offset,9,2,105,14
offset,9,3,105,30
offset,9,4,105,32
offset,9,5,105,27
offset,9,6,105,34
offset,10,1,105,193
offset,10,2,105,196
offset,10,3,105,190
offset,10,4,105,207
offset,10,5,105,197
offset,10,6,105,197
stuck_at,8,1,105,9
stuck_at,8,2,105,10
stuck_at,8,3,105,10
stuck_at,8,4,105,14
stuck_at,8,5,105,42
stuck_at,8,6,105,6
stuck_at,9,1,105,28
stuck_at,9,2,105,14
stuck_at,9,3,105,30
stuck_at,9,4,105,32
stuck_at,9,5,105,27
stuck_at,9,6,105,34
stuck_at,10,1,105,193
stuck_at,10,2,105,196
stuck_at,10,3,105,190
stuck_at,10,4,105,207
stuck_at,10,5,105,197
stuck_at,10,6,105,197
drift,8,1,106,9
drift,8,2,106,10
drift,8,3,106,10
drift,8,4,106,14
drift,8,5,106,42
drift,8,6,106,6
drift,9,1,106,28
drift,9,2,106,14
drift,9,3,106,30
drift,9,4,106,32
drift,9,5,106,27
drift,9,6,106,34
drift,10,1,106,193
drift,10,2,106,196
drift,10,3,106,190
drift,10,4,106,207
drift,10,5,106,197
drift,10,6,106,197
gaussian,8,1,106,9
gaussian,8,2,106,10
gaussian,8,3,106,10
gaussian,8,4,106,14
gaussian,8,5,106,42
gaussian,8,6,106,6
gaussian,9,1,106,28
gaussian,9,2,106,14
gaussian,9,3,106,30
gaussian,9,4,106,32
gaussian,9,5,106,27
gaussian,9,6,106,34
gaussian,10,1,106,193
gaussian,10,2,106,196
gaussian,10,3,106,190
gaussian,10,4,106,207
gaussian,10,5,106,197
gaussian,10,6,106,197
offset,8,1,106,9
offset,8,2,106,10
offset,8,3,106,10
offset,8,4,106,14
offset,8,5,106,42
offset,8,6,106,6
offset,9,1,106,28
offset,9,2,106,14
offset,9,3,106,30
offset,9,4,106,32
offset,9,5,106,27
offset,9,6,106,34
offset,10,1,106,193
offset,10,2,106,196
offset,10,3,106,190
offset,10,4,106,207
offset,10,5,106,197
offset,10,6,106,197
stuck_at,8,1,106,9
stuck_at,8,2,106,10
stuck_at,8,3,106,10
stuck_at,8,4,106,14
stuck_at,8,5,106,42
stuck_at,8,6,106,6
stuck_at,9,1,106,28
stuck_at,9,2,106,14
stuck_at,9,3,106,30
stuck_at,9,4,106,32
stuck_at,9,5,106,27
stuck_at,9,6,106,34
stuck_at,10,1,106,193
stuck_at,10,2,106,196
stuck_at,10,3,106,190
stuck_at,10,4,106,207
stuck_at,10,5,106,197
stuck_at,10,6,106,197
drift,8,1,107,9
drift,8,2,107,10
drift,8,3,107,10
drift,8,4,107,14
drift,8,5,107,42
drift,8,6,107,6
drift,9,1,107,28
drift,9,2,107,14
drift,9,3,107,30
drift,9,4,107,32
drift,9,5,107,27
drift,9,6,107,34
drift,10,1,107,193
drift,10,2,107,196
drift,10,3,107,190
drift,10,4,107,207
drift,10,5,107,197
drift,10,6,107,197
gaussian,8,1,107,9
gaussian,8,2,107,10
gaussian,8,3,107,10
gaussian,8,4,107,14
gaussian,8,5,107,42
gaussian,8,6,107,6
gaussian,9,1,107,28
gaussian,9,2,107,14
gaussian,9,3,107,30
gaussian,9,4,107,32
gaussian,9,5,107,27
gaussian,9,6,107,34
gaussian,10,1,107,193
gaussian,10,2,107,196
gaussian,10,3,107,190
gaussian,10,4,107,207
gaussian,10,5,107,197
gaussian,10,6,107,197
offset,8,1,107,9
offset,8,2,107,10
offset,8,3,107,10
offset,8,4,107,14
offset,8,5,107,42
offset,8,6,107,6
offset,9,1,107,28
offset,9,2,107,14
offset,9,3,107,30
offset,9,4,107,32
offset,9,5,107,27
offset,9,6,107,34
offset,10,1,107,193
offset,10,2,107,196
offset,10,3,107,190
offset,10,4,107,207
offset,10,5,107,197
offset,10,6,107,197
stuck_at,8,1,107,9
stuck_at,8,2,107,10
stuck_at,8,3,107,10
stuck_at,8,4,107,14
stuck_at,8,5,107,42
stuck_at,8,6,107,6
stuck_at,9,1,107,28
stuck_at,9,2,107,14
stuck_at,9,3,107,30
stuck_at,9,4,107,32
stuck_at,9,5,107,27
stuck_at,9,6,107,34
stuck_at,10,1,107,193
stuck_at,10,2,107,196
stuck_at,10,3,107,190
stuck_at,10,4,107,207
stuck_at,10,5,107,197
stuck_at,10,6,107,197
drift,8,1,108,9
drift,8,2,108,10
drift,8,3,108,10
drift,8,4,108,14
drift,8,5,108,42
drift,8,6,108,6
drift,9,1,108,28
drift,9,2,108,14
drift,9,3,108,30
drift,9,4,108,32
drift,9,5,108,27
drift,9,6,108,34
drift,10,1,108,193
drift,10,2,108,196
drift,10,3,108,190
drift,10,4,108,207
drift,10,5,108,197
drift,10,6,108,197
gaussian,8,1,108,9
gaussian,8,2,108,10
gaussian,8,3,108,10
gaussian,8,4,108,14
gaussian,8,5,108,42
gaussian,8,6,108,6
gaussian,9,1,108,28
gaussian,9,2,108,14
gaussian,9,3,108,30
gaussian,9,4,108,32
gaussian,9,5,108,27
gaussian,9,6,108,34
gaussian,10,1,108,193
gaussian,10,2,108,196
gaussian,10,3,108,190
gaussian,10,4,108,207
gaussian,10,5,108,197
gaussian,10,6,108,197
offset,8,1,108,9
offset,8,2,108,10
offset,8,3,108,10
offset,8,4,108,14
offset,8,5,108,42
offset,8,6,108,6
offset,9,1,108,28
offset,9,2,108,14
offset,9,3,108,30
offset,9,4,108,32
offset,9,5,108,27
offset,9,6,108,34
offset,10,1,108,193
offset,10,2,108,196
offset,10,3,108,190
offset,10,4,108,207
offset,10,5,108,197
offset,10,6,108,197
stuck_at,8,1,108,9
stuck_at,8,2,108,10
stuck_at,8,3,108,10
stuck_at,8,4,108,14
stuck_at,8,5,108,42
stuck_at,8,6,108,6
stuck_at,9,1,108,28
stuck_at,9,2,108,14
stuck_at,9,3,108,30
stuck_at,9,4,108,32
stuck_at,9,5,108,27
stuck_at,9,6,108,34
stuck_at,10,1,108,193
stuck_at,10,2,108,196
stuck_at,10,3,108,190
stuck_at,10,4,108,207
stuck_at,10,5,108,197
stuck_at,10,6,108,197
drift,8,1,109,9
drift,8,2,109,10
drift,8,3,109,10
drift,8,4,109,14
drift,8,5,109,42
drift,8,6,109,6
drift,9,1,109,28
drift,9,2,109,14
drift,9,3,109,30
drift,9,4,109,32
drift,9,5,109,27
drift,9,6,109,34
drift,10,1,109,193
drift,10,2,109,196
drift,10,3,109,190
drift,10,4,109,207
drift,10,5,109,197
drift,10,6,109,197
gaussian,8,1,109,9
gaussian,8,2,109,10
gaussian,8,3,109,10
gaussian,8,4,109,14
gaussian,8,5,109,42
gaussian,8,6,109,6
gaussian,9,1,109,28
gaussian,9,2,109,14
gaussian,9,3,109,30
gaussian,9,4,109,32
gaussian,9,5,109,27
gaussian,9,6,109,34
gaussian,10,1,109,193
gaussian,10,2,109,196
gaussian,10,3,109,190
gaussian,10,4,109,207
gaussian,10,5,109,197
gaussian,10,6,109,197
offset,8,1,109,9
offset,8,2,109,10
offset,8,3,109,10
offset,8,4,109,14
offset,8,5,109,42
offset,8,6,109,6
offset,9,1,109,28
offset,9,2,109,14
offset,9,3,109,30
offset,9,4,109,32
offset,9,5,109,27
offset,9,6,109,34
offset,10,1,109,193
offset,10,2,109,196
offset,10,3,109,190
offset,10,4,109,207
offset,10,5,109,197
offset,10,6,109,197
stuck_at,8,1,109,9
stuck_at,8,2,109,10
stuck_at,8,3,109,10
stuck_at,8,4,109,14
stuck_at,8,5,109,42
stuck_at,8,6,109,6
stuck_at,9,1,109,28
stuck_at,9,2,109,14
stuck_at,9,3,109,30
stuck_at,9,4,109,32
stuck_at,9,5,109,27
stuck_at,9,6,109,34
stuck_at,10,1,109,193
stuck_at,10,2,109,196
stuck_at,10,3,109,190
stuck_at,10,4,109,207
stuck_at,10,5,109,197
stuck_at,10,6,109,197
drift,8,1,110,9
drift,8,2,110,10
drift,8,3,110,10
drift,8,4,110,14
drift,8,5,110,42
drift,8,6,110,6
drift,9,1,110,28
drift,9,2,110,14
drift,9,3,110,30
drift,9,4,110,32
drift,9,5,110,27
drift,9,6,110,34
drift,10,1,110,193
drift,10,2,110,196
drift,10,3,110,190
drift,10,4,110,207
drift,10,5,110,197
drift,10,6,110,197
gaussian,8,1,110,9
gaussian,8,2,110,10
gaussian,8,3,110,10
gaussian,8,4,110,14
gaussian,8,5,110,42
gaussian,8,6,110,6
gaussian,9,1,110,28
gaussian,9,2,110,14
gaussian,9,3,110,30
gaussian,9,4,110,32
gaussian,9,5,110,27
gaussian,9,6,110,34
gaussian,10,1,110,193
gaussian,10,2,110,196
gaussian,10,3,110,190
gaussian,10,4,110,207
gaussian,10,5,110,197
gaussian,10,6,110,197
offset,8,1,110,9
offset,8,2,110,10
offset,8,3,110,10
offset,8,4,110,14
offset,8,5,110,42
offset,8,6,110,6
offset,9,1,110,28
offset,9,2,110,14
offset,9,3,110,30
offset,9,4,110,32
offset,9,5,110,27
offset,9,6,110,34
offset,10,1,110,193
offset,10,2,110,196
offset,10,3,110,190
offset,10,4,110,207
offset,10,5,110,197
offset,10,6,110,197
stuck_at,8,1,110,9
stuck_at,8,2,110,10
stuck_at,8,3,110,10
stuck_at,8,4,110,14
stuck_at,8,5,110,42
stuck_at,8,6,110,6
stuck_at,9,1,110,28
stuck_at,9,2,110,14
stuck_at,9,3,110,30
stuck_at,9,4,110,32
stuck_at,9,5,110,27
stuck_at,9,6,110,34
stuck_at,10,1,110,193
stuck_at,10,2,110,196
stuck_at,10,3,110,190
stuck_at,10,4,110,207
stuck_at,10,5,110,197
stuck_at,10,6,110,197
