fault_type,scale,sample,batch,class,median_before_percentile,median_after_percentile,maximum_abs_percentile_shift,feature_1_before_original,feature_1_after_original,feature_1_before_percentile,feature_1_after_percentile,feature_2_before_original,feature_2_after_original,feature_2_before_percentile,feature_2_after_percentile,feature_3_before_original,feature_3_after_original,feature_3_before_percentile,feature_3_after_percentile,feature_4_before_original,feature_4_after_original,feature_4_before_percentile,feature_4_after_percentile
drift,3.0,2,8,4,0.3738412270352267,0.5220798921287713,0.8818472947918423,311.87514506703883,-64414.545151150945,0.006236305410416316,0.0,1.1955774248790085,15.622047987991333,0.013315354795213214,0.8951626495870555,0.10573026769188232,-16.007863256635993,0.0030338783077700996,0.0,0.3524598001382415,22.64815034924844,0.004719366256531266,0.5309287038597674
drift,3.0,9,8,5,0.37856059329175795,0.5513231080397776,0.8481375358166189,851.4376638550893,-64186.095625887756,0.006910500589920782,0.0,1.937377832008771,16.433190441573657,0.08242036069442103,0.8990392718692062,0.18219947384278612,-16.008845401768177,0.0053935614360357325,0.0,0.4244612598063817,22.827317924355896,0.0053935614360357325,0.5356480701162987
drift,3.0,12,8,5,0.38083600202258555,0.550480364065397,0.8307770099443789,493.56320180010516,-64677.29909109541,0.006404854205292432,0.0,1.7979357899135042,16.323466419386634,0.0699477498735884,0.8983650766897017,0.1281610302159102,-16.096077281659227,0.004550817461655149,0.0,0.34456089089642816,22.79334589063422,0.004550817461655149,0.5348053261419181
drift,3.0,15,8,5,0.37830777009944383,0.5514916568346536,0.833810888252149,484.470836722845,-64819.73587011361,0.006404854205292432,0.0,1.861272634700991,16.416521284082364,0.07584695769425248,0.8990392718692062,0.11508238663932957,-16.142350640334797,0.0038766222821506827,0.0,0.3341245632288192,22.82883789815489,0.004550817461655149,0.5359851677060509
drift,3.0,21,8,5,0.3811730996123378,0.5546098095398617,0.8274060340468565,641.6711509003944,-64929.19356224143,0.006910500589920782,0.0,2.065144937711514,16.679829626909367,0.10382605764368785,0.9020731501769762,0.14091484975138258,-16.182905049751106,0.004719366256531266,0.0,0.34827854508931466,22.93484855039194,0.004719366256531266,0.5395246923984494
stuck_at,3.0,2,8,4,0.3738412270352267,0.9830608461149504,0.9887072307433002,311.87514506703883,-181557.8953293829,0.006236305410416316,0.0,1.1955774248790085,65.79826891854579,0.013315354795213214,0.9984830608461149,0.10573026769188232,-44.6518088856621,0.0030338783077700996,0.0,0.3524598001382415,117.45580650456617,0.004719366256531266,0.9920782066408225
stuck_at,3.0,9,8,5,0.37856059329175795,0.9830608461149504,0.9887072307433002,851.4376638550893,-181557.8953293829,0.006910500589920782,0.0,1.937377832008771,65.79826891854579,0.08242036069442103,0.9984830608461149,0.18219947384278612,-44.6518088856621,0.0053935614360357325,0.0,0.4244612598063817,117.45580650456617,0.0053935614360357325,0.9920782066408225
stuck_at,3.0,12,8,5,0.38083600202258555,0.9830608461149504,0.9890443283330524,493.56320180010516,-181557.8953293829,0.006404854205292432,0.0,1.7979357899135042,65.79826891854579,0.0699477498735884,0.9984830608461149,0.1281610302159102,-44.6518088856621,0.004550817461655149,0.0,0.34456089089642816,117.45580650456617,0.004550817461655149,0.9920782066408225
stuck_at,3.0,15,8,5,0.37830777009944383,0.9830608461149504,0.9893814259228046,484.470836722845,-181557.8953293829,0.006404854205292432,0.0,1.861272634700991,65.79826891854579,0.07584695769425248,0.9984830608461149,0.11508238663932957,-44.6518088856621,0.0038766222821506827,0.0,0.3341245632288192,117.45580650456617,0.004550817461655149,0.9920782066408225
stuck_at,3.0,21,8,5,0.3811730996123378,0.9830608461149504,0.9888757795381763,641.6711509003944,-181557.8953293829,0.006910500589920782,0.0,2.065144937711514,65.79826891854579,0.10382605764368785,0.9984830608461149,0.14091484975138258,-44.6518088856621,0.004719366256531266,0.0,0.34827854508931466,117.45580650456617,0.004719366256531266,0.9920782066408225
