method,class,bin,n,confidence,frequency
RO-CAGF,5,8,42,0.8402286681610887,0.7380952380952381
RO-CAGF,5,9,100,0.9889250711229668,0.97
RO-CAGF,6,0,683,0.019625663278784147,0.021961932650073207
RO-CAGF,6,1,212,0.14537077124886671,0.12735849056603774
RO-CAGF,6,2,136,0.24648577627958645,0.19852941176470587
RO-CAGF,6,3,167,0.3492519321567195,0.17964071856287425
RO-CAGF,6,4,132,0.44925571766903166,0.22727272727272727
RO-CAGF,6,5,157,0.5499247252356445,0.2929936305732484
RO-CAGF,6,6,127,0.6538804439346465,0.3464566929133858
RO-CAGF,6,7,95,0.7424164308373623,0.47368421052631576
RO-CAGF,6,8,41,0.8467108884015125,0.43902439024390244
RO-CAGF,6,9,15,0.9238005627105378,0.6666666666666666
RO-PDRF,1,0,980,0.020069903842618433,0.07551020408163266
RO-PDRF,1,1,166,0.14373293932996833,0.1144578313253012
RO-PDRF,1,2,90,0.2504739541257304,0.1
RO-PDRF,1,3,84,0.3529506004475791,0.11904761904761904
RO-PDRF,1,4,76,0.44771369151588863,0.10526315789473684
RO-PDRF,1,5,56,0.5477563785001484,0.16071428571428573
RO-PDRF,1,6,70,0.6483193079631507,0.15714285714285714
RO-PDRF,1,7,55,0.7486073842022541,0.3090909090909091
RO-PDRF,1,8,56,0.8468101106741186,0.35714285714285715
RO-PDRF,1,9,132,0.9694742158811039,0.7727272727272727
RO-PDRF,2,0,1398,0.007921261905716442,0.05507868383404864
RO-PDRF,2,1,59,0.14653898872734064,0.3220338983050847
RO-PDRF,2,2,48,0.25162927002094015,0.3333333333333333
RO-PDRF,2,3,27,0.3431461827249801,0.48148148148148145
RO-PDRF,2,4,33,0.4520957213126532,0.5151515151515151
RO-PDRF,2,5,35,0.5611567017917174,0.5142857142857142
RO-PDRF,2,6,34,0.6539157489100417,0.5882352941176471
RO-PDRF,2,7,22,0.7599539194984906,0.6363636363636364
RO-PDRF,2,8,32,0.8504530706722988,0.625
RO-PDRF,2,9,77,0.9610745597291767,0.8311688311688312
RO-PDRF,3,0,1297,0.011508881618415808,0.047031611410948346
RO-PDRF,3,1,97,0.13890789932792408,0.13402061855670103
RO-PDRF,3,2,55,0.24321797310225968,0.34545454545454546
RO-PDRF,3,3,42,0.3528135950577703,0.3333333333333333
RO-PDRF,3,4,28,0.44271788260775274,0.2857142857142857
RO-PDRF,3,5,30,0.5470366564642151,0.23333333333333334
RO-PDRF,3,6,23,0.6640946808463847,0.6086956521739131
RO-PDRF,3,7,24,0.7474683025944612,0.5
RO-PDRF,3,8,37,0.8546570234021112,0.6216216216216216
RO-PDRF,3,9,132,0.9740074849355478,0.9545454545454546
RO-PDRF,4,0,1434,0.014852325732199561,0.1387726638772664
RO-PDRF,4,1,122,0.14500472635167808,0.27049180327868855
RO-PDRF,4,2,61,0.24330833904887805,0.32786885245901637
RO-PDRF,4,3,51,0.3422137760616046,0.3333333333333333
RO-PDRF,4,4,26,0.45236552826208387,0.46153846153846156
RO-PDRF,4,5,26,0.5503126670340813,0.3076923076923077
RO-PDRF,4,6,22,0.6439014703583936,0.2727272727272727
RO-PDRF,4,7,7,0.7338126378550811,0.5714285714285714
RO-PDRF,4,8,14,0.8451978998470301,0.2857142857142857
RO-PDRF,4,9,2,0.9243082062155008,0.5
RO-PDRF,5,0,1319,0.007271047913661047,0.05686125852918878
RO-PDRF,5,1,59,0.14893700383217967,0.2033898305084746
RO-PDRF,5,2,39,0.2457621292975663,0.3333333333333333
RO-PDRF,5,3,39,0.3470251302929369,0.28205128205128205
RO-PDRF,5,4,29,0.44815247820941806,0.27586206896551724
RO-PDRF,5,5,18,0.5538155845096603,0.3333333333333333
RO-PDRF,5,6,25,0.6404270086897021,0.32
RO-PDRF,5,7,19,0.7506907616553713,0.47368421052631576
RO-PDRF,5,8,26,0.8509716262959193,0.46153846153846156
RO-PDRF,5,9,192,0.9849771408589838,0.8385416666666666
RO-PDRF,6,0,1012,0.014000603530813404,0.0741106719367589
RO-PDRF,6,1,138,0.14705653393770288,0.2028985507246377
RO-PDRF,6,2,100,0.24345023146968475,0.24
RO-PDRF,6,3,90,0.34507841825610136,0.23333333333333334
RO-PDRF,6,4,53,0.45073955938424093,0.22641509433962265
RO-PDRF,6,5,68,0.5504442592278685,0.29411764705882354
RO-PDRF,6,6,44,0.6520606797851083,0.22727272727272727
RO-PDRF,6,7,49,0.7560295215618129,0.22448979591836735
RO-PDRF,6,8,79,0.8562277351824886,0.3924050632911392
RO-PDRF,6,9,132,0.9633152708926803,0.45454545454545453
