dataset,task,split,within_split_index,source_index,class_value,batch_or_cycle,guard
chemical,gas_class,train,47,47,0,1,False
chemical,gas_class,train,48,48,0,1,False
chemical,gas_class,train,49,49,0,1,False
chemical,gas_class,train,50,50,0,1,False
chemical,gas_class,train,51,51,0,1,False
chemical,gas_class,train,52,52,0,1,False
chemical,gas_class,train,53,53,0,1,False
chemical,gas_class,train,54,54,0,1,False
chemical,gas_class,train,55,55,0,1,False
chemical,gas_class,train,56,56,0,1,False
chemical,gas_class,train,57,57,0,1,False
chemical,gas_class,train,58,58,0,1,False
chemical,gas_class,train,59,59,0,1,False
chemical,gas_class,train,60,60,0,1,False
chemical,gas_class,train,61,61,0,1,False
chemical,gas_class,train,62,62,0,1,False
chemical,gas_class,train,63,63,0,1,False
chemical,gas_class,train,64,64,0,1,False
chemical,gas_class,train,65,65,0,1,False
chemical,gas_class,train,66,66,0,1,False
chemical,gas_class,train,67,67,0,1,False
chemical,gas_class,train,68,68,0,1,False
chemical,gas_class,train,69,69,0,1,False
chemical,gas_class,train,70,70,0,1,False
chemical,gas_class,train,71,71,0,1,False
chemical,gas_class,train,72,72,0,1,False
chemical,gas_class,train,73,73,0,1,False
chemical,gas_class,train,74,74,0,1,False
chemical,gas_class,train,75,75,0,1,False
chemical,gas_class,train,76,76,0,1,False
chemical,gas_class,train,77,77,0,1,False
chemical,gas_class,train,78,78,0,1,False
chemical,gas_class,train,79,79,0,1,False
chemical,gas_class,train,80,80,0,1,False
chemical,gas_class,train,81,81,0,1,False
chemical,gas_class,train,82,82,0,1,False
chemical,gas_class,train,83,83,0,1,False
chemical,gas_class,train,84,84,1,1,False
chemical,gas_class,train,85,85,1,1,False
chemical,gas_class,train,86,86,1,1,False
chemical,gas_class,train,87,87,1,1,False
chemical,gas_class,train,88,88,1,1,False
chemical,gas_class,train,89,89,1,1,False
chemical,gas_class,train,90,90,1,1,False
chemical,gas_class,train,91,91,1,1,False
chemical,gas_class,train,92,92,1,1,False
chemical,gas_class,train,93,93,1,1,False
chemical,gas_class,train,94,94,1,1,False
chemical,gas_class,train,95,95,1,1,False
chemical,gas_class,train,96,96,1,1,False
chemical,gas_class,train,97,97,1,1,False
chemical,gas_class,train,98,98,1,1,False
chemical,gas_class,train,99,99,1,1,False
chemical,gas_class,train,100,100,1,1,False
chemical,gas_class,train,101,101,1,1,False
chemical,gas_class,train,102,102,1,1,False
chemical,gas_class,train,103,103,1,1,False
chemical,gas_class,train,104,104,1,1,False
chemical,gas_class,train,105,105,1,1,False
chemical,gas_class,train,106,106,1,1,False
chemical,gas_class,train,107,107,1,1,False
chemical,gas_class,train,108,108,1,1,False
chemical,gas_class,train,109,109,1,1,False
chemical,gas_class,train,110,110,1,1,False
chemical,gas_class,train,111,111,1,1,False
chemical,gas_class,train,112,112,1,1,False
chemical,gas_class,train,113,113,1,1,False
chemical,gas_class,train,114,114,1,1,False
chemical,gas_class,train,115,115,1,1,False
chemical,gas_class,train,116,116,1,1,False
chemical,gas_class,train,117,117,1,1,False
chemical,gas_class,train,118,118,1,1,False
chemical,gas_class,train,119,119,1,1,False
chemical,gas_class,train,120,120,1,1,False
chemical,gas_class,train,121,121,1,1,False
chemical,gas_class,train,122,122,1,1,False
chemical,gas_class,train,123,123,1,1,False
chemical,gas_class,train,124,124,1,1,False
chemical,gas_class,train,125,125,1,1,False
chemical,gas_class,train,126,126,1,1,False
chemical,gas_class,train,127,127,1,1,False
chemical,gas_class,train,128,128,1,1,False
chemical,gas_class,train,129,129,1,1,False
chemical,gas_class,train,130,130,1,1,False
chemical,gas_class,train,131,131,1,1,False
chemical,gas_class,train,132,132,1,1,False
chemical,gas_class,train,133,133,1,1,False
chemical,gas_class,train,134,134,1,1,False
chemical,gas_class,train,135,135,1,1,False
chemical,gas_class,train,136,136,1,1,False
chemical,gas_class,train,137,137,1,1,False
chemical,gas_class,train,138,138,1,1,False
chemical,gas_class,train,139,139,1,1,False
chemical,gas_class,train,140,140,1,1,False
chemical,gas_class,train,141,141,1,1,False
chemical,gas_class,train,142,142,1,1,False
chemical,gas_class,train,143,143,1,1,False
chemical,gas_class,train,144,144,1,1,False
chemical,gas_class,train,145,145,1,1,False
chemical,gas_class,train,146,146,1,1,False
chemical,gas_class,train,147,147,1,1,False
chemical,gas_class,train,148,148,1,1,False
chemical,gas_class,train,149,149,1,1,False
chemical,gas_class,train,150,150,1,1,False
chemical,gas_class,train,151,151,1,1,False
chemical,gas_class,train,152,152,1,1,False
chemical,gas_class,train,153,153,1,1,False
chemical,gas_class,train,154,154,1,1,False
chemical,gas_class,train,155,155,1,1,False
chemical,gas_class,train,156,156,1,1,False
chemical,gas_class,train,157,157,1,1,False
chemical,gas_class,train,158,158,1,1,False
chemical,gas_class,train,159,159,1,1,False
chemical,gas_class,train,160,160,1,1,False
chemical,gas_class,train,161,161,1,1,False
chemical,gas_class,train,162,162,1,1,False
chemical,gas_class,train,163,163,1,1,False
chemical,gas_class,train,164,164,1,1,False
chemical,gas_class,train,165,165,1,1,False
chemical,gas_class,train,166,166,1,1,False
chemical,gas_class,train,167,167,1,1,False
chemical,gas_class,train,168,168,1,1,False
chemical,gas_class,train,169,169,1,1,False
chemical,gas_class,train,170,170,1,1,False
chemical,gas_class,train,171,171,1,1,False
chemical,gas_class,train,172,172,2,1,False
chemical,gas_class,train,173,173,2,1,False
chemical,gas_class,train,174,174,2,1,False
chemical,gas_class,train,175,175,2,1,False
chemical,gas_class,train,176,176,2,1,False
chemical,gas_class,train,177,177,2,1,False
chemical,gas_class,train,178,178,2,1,False
chemical,gas_class,train,179,179,2,1,False
chemical,gas_class,train,180,180,2,1,False
chemical,gas_class,train,181,181,2,1,False
chemical,gas_class,train,182,182,2,1,False
chemical,gas_class,train,183,183,2,1,False
chemical,gas_class,train,184,184,2,1,False
chemical,gas_class,train,185,185,2,1,False
chemical,gas_class,train,186,186,2,1,False
chemical,gas_class,train,187,187,2,1,False
chemical,gas_class,train,188,188,2,1,False
chemical,gas_class,train,189,189,2,1,False
chemical,gas_class,train,190,190,2,1,False
chemical,gas_class,train,191,191,2,1,False
chemical,gas_class,train,192,192,2,1,False
chemical,gas_class,train,193,193,2,1,False
chemical,gas_class,train,194,194,2,1,False
chemical,gas_class,train,195,195,2,1,False
chemical,gas_class,train,196,196,2,1,False
chemical,gas_class,train,197,197,2,1,False
chemical,gas_class,train,198,198,2,1,False
chemical,gas_class,train,199,199,2,1,False
chemical,gas_class,train,200,200,2,1,False
chemical,gas_class,train,201,201,2,1,False
chemical,gas_class,train,202,202,2,1,False
chemical,gas_class,train,203,203,2,1,False
chemical,gas_class,train,204,204,2,1,False
chemical,gas_class,train,205,205,2,1,False
chemical,gas_class,train,206,206,2,1,False
chemical,gas_class,train,207,207,2,1,False
chemical,gas_class,train,208,208,2,1,False
chemical,gas_class,train,209,209,2,1,False
chemical,gas_class,train,210,210,2,1,False
chemical,gas_class,train,211,211,2,1,False
chemical,gas_class,train,212,212,2,1,False
chemical,gas_class,train,213,213,2,1,False
chemical,gas_class,train,214,214,2,1,False
chemical,gas_class,train,215,215,2,1,False
chemical,gas_class,train,216,216,2,1,False
chemical,gas_class,train,217,217,2,1,False
chemical,gas_class,train,218,218,2,1,False
chemical,gas_class,train,219,219,2,1,False
chemical,gas_class,train,220,220,2,1,False
chemical,gas_class,train,221,221,2,1,False
chemical,gas_class,train,222,222,2,1,False
chemical,gas_class,train,223,223,2,1,False
chemical,gas_class,train,224,224,2,1,False
chemical,gas_class,train,225,225,2,1,False
chemical,gas_class,train,226,226,2,1,False
chemical,gas_class,train,227,227,2,1,False
chemical,gas_class,train,228,228,2,1,False
chemical,gas_class,train,229,229,2,1,False
chemical,gas_class,train,230,230,2,1,False
chemical,gas_class,train,231,231,2,1,False
chemical,gas_class,train,232,232,2,1,False
chemical,gas_class,train,233,233,2,1,False
chemical,gas_class,train,234,234,2,1,False
chemical,gas_class,train,235,235,2,1,False
chemical,gas_class,train,236,236,2,1,False
chemical,gas_class,train,237,237,2,1,False
chemical,gas_class,train,238,238,2,1,False
chemical,gas_class,train,239,239,2,1,False
chemical,gas_class,train,240,240,2,1,False
chemical,gas_class,train,241,241,2,1,False
chemical,gas_class,train,242,242,2,1,False
chemical,gas_class,train,243,243,2,1,False
chemical,gas_class,train,244,244,2,1,False
chemical,gas_class,train,245,245,2,1,False
chemical,gas_class,train,246,246,2,1,False
chemical,gas_class,train,247,247,2,1,False
chemical,gas_class,train,248,248,0,1,False
chemical,gas_class,train,249,249,0,1,False
chemical,gas_class,train,250,250,0,1,False
chemical,gas_class,train,251,251,0,1,False
chemical,gas_class,train,252,252,0,1,False
chemical,gas_class,train,253,253,0,1,False
chemical,gas_class,train,254,254,1,1,False
chemical,gas_class,train,255,255,1,1,False
chemical,gas_class,train,256,256,1,1,False
chemical,gas_class,train,257,257,1,1,False
chemical,gas_class,train,258,258,1,1,False
chemical,gas_class,train,259,259,1,1,False
chemical,gas_class,train,260,260,1,1,False
chemical,gas_class,train,261,261,1,1,False
chemical,gas_class,train,262,262,1,1,False
chemical,gas_class,train,263,263,1,1,False
chemical,gas_class,train,264,264,2,1,False
chemical,gas_class,train,265,265,2,1,False
chemical,gas_class,train,266,266,2,1,False
chemical,gas_class,train,267,267,2,1,False
chemical,gas_class,train,268,268,2,1,False
chemical,gas_class,train,269,269,2,1,False
chemical,gas_class,train,270,270,2,1,False
chemical,gas_class,train,271,271,3,1,False
chemical,gas_class,train,272,272,3,1,False
chemical,gas_class,train,273,273,3,1,False
chemical,gas_class,train,274,274,3,1,False
chemical,gas_class,train,275,275,3,1,False
chemical,gas_class,train,276,276,3,1,False
chemical,gas_class,train,277,277,3,1,False
chemical,gas_class,train,278,278,3,1,False
chemical,gas_class,train,279,279,3,1,False
chemical,gas_class,train,280,280,3,1,False
chemical,gas_class,train,281,281,3,1,False
chemical,gas_class,train,282,282,3,1,False
chemical,gas_class,train,283,283,3,1,False
chemical,gas_class,train,284,284,3,1,False
chemical,gas_class,train,285,285,3,1,False
chemical,gas_class,train,286,286,3,1,False
chemical,gas_class,train,287,287,3,1,False
chemical,gas_class,train,288,288,3,1,False
chemical,gas_class,train,289,289,3,1,False
chemical,gas_class,train,290,290,3,1,False
chemical,gas_class,train,291,291,3,1,False
chemical,gas_class,train,292,292,3,1,False
chemical,gas_class,train,293,293,3,1,False
chemical,gas_class,train,294,294,3,1,False
chemical,gas_class,train,295,295,3,1,False
chemical,gas_class,train,296,296,3,1,False
chemical,gas_class,train,297,297,3,1,False
chemical,gas_class,train,298,298,3,1,False
chemical,gas_class,train,299,299,3,1,False
chemical,gas_class,train,300,300,3,1,False
chemical,gas_class,train,301,301,4,1,False
chemical,gas_class,train,302,302,4,1,False
chemical,gas_class,train,303,303,4,1,False
chemical,gas_class,train,304,304,4,1,False
chemical,gas_class,train,305,305,4,1,False
chemical,gas_class,train,306,306,4,1,False
chemical,gas_class,train,307,307,4,1,False
chemical,gas_class,train,308,308,4,1,False
chemical,gas_class,train,309,309,4,1,False
chemical,gas_class,train,310,310,4,1,False
chemical,gas_class,train,311,311,4,1,False
chemical,gas_class,train,312,312,4,1,False
chemical,gas_class,train,313,313,4,1,False
chemical,gas_class,train,314,314,4,1,False
chemical,gas_class,train,315,315,4,1,False
chemical,gas_class,train,316,316,4,1,False
chemical,gas_class,train,317,317,4,1,False
chemical,gas_class,train,318,318,4,1,False
chemical,gas_class,train,319,319,4,1,False
chemical,gas_class,train,320,320,4,1,False
chemical,gas_class,train,321,321,4,1,False
chemical,gas_class,train,322,322,4,1,False
chemical,gas_class,train,323,323,4,1,False
chemical,gas_class,train,324,324,4,1,False
chemical,gas_class,train,325,325,4,1,False
chemical,gas_class,train,326,326,4,1,False
chemical,gas_class,train,327,327,4,1,False
chemical,gas_class,train,328,328,4,1,False
chemical,gas_class,train,329,329,4,1,False
chemical,gas_class,train,330,330,4,1,False
chemical,gas_class,train,331,331,4,1,False
chemical,gas_class,train,332,332,4,1,False
chemical,gas_class,train,333,333,4,1,False
chemical,gas_class,train,334,334,4,1,False
chemical,gas_class,train,335,335,4,1,False
chemical,gas_class,train,336,336,4,1,False
chemical,gas_class,train,337,337,4,1,False
chemical,gas_class,train,338,338,4,1,False
chemical,gas_class,train,339,339,4,1,False
chemical,gas_class,train,340,340,4,1,False
chemical,gas_class,train,341,341,4,1,False
chemical,gas_class,train,342,342,4,1,False
chemical,gas_class,train,343,343,4,1,False
chemical,gas_class,train,344,344,4,1,False
chemical,gas_class,train,345,345,4,1,False
chemical,gas_class,train,346,346,4,1,False
chemical,gas_class,train,347,347,4,1,False
chemical,gas_class,train,348,348,4,1,False
chemical,gas_class,train,349,349,4,1,False
chemical,gas_class,train,350,350,4,1,False
chemical,gas_class,train,351,351,4,1,False
chemical,gas_class,train,352,352,4,1,False
chemical,gas_class,train,353,353,4,1,False
chemical,gas_class,train,354,354,4,1,False
chemical,gas_class,train,355,355,4,1,False
chemical,gas_class,train,356,356,4,1,False
chemical,gas_class,train,357,357,4,1,False
chemical,gas_class,train,358,358,4,1,False
chemical,gas_class,train,359,359,4,1,False
chemical,gas_class,train,360,360,4,1,False
chemical,gas_class,train,361,361,4,1,False
chemical,gas_class,train,362,362,4,1,False
chemical,gas_class,train,363,363,4,1,False
chemical,gas_class,train,364,364,4,1,False
chemical,gas_class,train,365,365,4,1,False
chemical,gas_class,train,366,366,4,1,False
chemical,gas_class,train,367,367,4,1,False
chemical,gas_class,train,368,368,4,1,False
chemical,gas_class,train,369,369,4,1,False
chemical,gas_class,train,370,370,4,1,False
chemical,gas_class,train,371,371,5,1,False
chemical,gas_class,train,372,372,5,1,False
chemical,gas_class,train,373,373,5,1,False
chemical,gas_class,train,374,374,5,1,False
chemical,gas_class,train,375,375,5,1,False
chemical,gas_class,train,376,376,5,1,False
chemical,gas_class,train,377,377,5,1,False
chemical,gas_class,train,378,378,5,1,False
chemical,gas_class,train,379,379,5,1,False
chemical,gas_class,train,380,380,5,1,False
chemical,gas_class,train,381,381,5,1,False
chemical,gas_class,train,382,382,5,1,False
chemical,gas_class,train,383,383,5,1,False
chemical,gas_class,train,384,384,5,1,False
chemical,gas_class,train,385,385,5,1,False
chemical,gas_class,train,386,386,5,1,False
chemical,gas_class,train,387,387,5,1,False
chemical,gas_class,train,388,388,5,1,False
chemical,gas_class,train,389,389,5,1,False
chemical,gas_class,train,390,390,5,1,False
chemical,gas_class,train,391,391,5,1,False
chemical,gas_class,train,392,392,5,1,False
chemical,gas_class,train,393,393,5,1,False
chemical,gas_class,train,394,394,5,1,False
chemical,gas_class,train,395,395,5,1,False
chemical,gas_class,train,396,396,5,1,False
chemical,gas_class,train,397,397,5,1,False
chemical,gas_class,train,398,398,5,1,False
chemical,gas_class,train,399,399,5,1,False
chemical,gas_class,train,400,400,5,1,False
chemical,gas_class,train,401,401,5,1,False
chemical,gas_class,train,402,402,5,1,False
chemical,gas_class,train,403,403,5,1,False
chemical,gas_class,train,404,404,5,1,False
chemical,gas_class,train,405,405,5,1,False
chemical,gas_class,train,406,406,5,1,False
chemical,gas_class,train,407,407,5,1,False
chemical,gas_class,train,408,408,5,1,False
chemical,gas_class,train,409,409,5,1,False
chemical,gas_class,train,410,410,5,1,False
chemical,gas_class,train,411,411,5,1,False
chemical,gas_class,train,412,412,5,1,False
chemical,gas_class,train,413,413,5,1,False
chemical,gas_class,train,414,414,5,1,False
chemical,gas_class,train,415,415,5,1,False
chemical,gas_class,train,416,416,5,1,False
chemical,gas_class,train,417,417,5,1,False
chemical,gas_class,train,418,418,5,1,False
chemical,gas_class,train,419,419,5,1,False
chemical,gas_class,train,420,420,5,1,False
chemical,gas_class,train,421,421,5,1,False
chemical,gas_class,train,422,422,5,1,False
chemical,gas_class,train,423,423,5,1,False
chemical,gas_class,train,424,424,5,1,False
chemical,gas_class,train,425,425,5,1,False
chemical,gas_class,train,426,426,5,1,False
chemical,gas_class,train,427,427,5,1,False
chemical,gas_class,train,428,428,5,1,False
chemical,gas_class,train,429,429,5,1,False
chemical,gas_class,train,430,430,5,1,False
chemical,gas_class,train,431,431,5,1,False
chemical,gas_class,train,432,432,5,1,False
chemical,gas_class,train,433,433,5,1,False
chemical,gas_class,train,434,434,5,1,False
chemical,gas_class,train,435,435,5,1,False
chemical,gas_class,train,436,436,5,1,False
chemical,gas_class,train,437,437,5,1,False
chemical,gas_class,train,438,438,5,1,False
chemical,gas_class,train,439,439,5,1,False
chemical,gas_class,train,440,440,5,1,False
chemical,gas_class,train,441,441,5,1,False
chemical,gas_class,train,442,442,5,1,False
chemical,gas_class,train,443,443,5,1,False
chemical,gas_class,train,444,444,5,1,False
chemical,gas_class,train,445,445,0,2,False
chemical,gas_class,train,446,446,0,2,False
chemical,gas_class,train,447,447,0,2,False
chemical,gas_class,train,448,448,0,2,False
chemical,gas_class,train,449,449,0,2,False
chemical,gas_class,train,450,450,0,2,False
chemical,gas_class,train,451,451,0,2,False
chemical,gas_class,train,452,452,0,2,False
chemical,gas_class,train,453,453,0,2,False
chemical,gas_class,train,454,454,0,2,False
chemical,gas_class,train,455,455,0,2,False
chemical,gas_class,train,456,456,0,2,False
chemical,gas_class,train,457,457,0,2,False
chemical,gas_class,train,458,458,0,2,False
chemical,gas_class,train,459,459,0,2,False
chemical,gas_class,train,460,460,0,2,False
chemical,gas_class,train,461,461,0,2,False
chemical,gas_class,train,462,462,0,2,False
chemical,gas_class,train,463,463,0,2,False
chemical,gas_class,train,464,464,0,2,False
chemical,gas_class,train,465,465,0,2,False
chemical,gas_class,train,466,466,0,2,False
chemical,gas_class,train,467,467,0,2,False
chemical,gas_class,train,468,468,0,2,False
chemical,gas_class,train,469,469,0,2,False
chemical,gas_class,train,470,470,0,2,False
chemical,gas_class,train,471,471,0,2,False
chemical,gas_class,train,472,472,0,2,False
chemical,gas_class,train,473,473,0,2,False
chemical,gas_class,train,474,474,0,2,False
chemical,gas_class,train,475,475,0,2,False
chemical,gas_class,train,476,476,0,2,False
chemical,gas_class,train,477,477,0,2,False
chemical,gas_class,train,478,478,0,2,False
chemical,gas_class,train,479,479,0,2,False
chemical,gas_class,train,480,480,0,2,False
chemical,gas_class,train,481,481,0,2,False
chemical,gas_class,train,482,482,0,2,False
chemical,gas_class,train,483,483,0,2,False
chemical,gas_class,train,484,484,0,2,False
chemical,gas_class,train,485,485,0,2,False
chemical,gas_class,train,486,486,0,2,False
chemical,gas_class,train,487,487,0,2,False
chemical,gas_class,train,488,488,0,2,False
chemical,gas_class,train,489,489,0,2,False
chemical,gas_class,train,490,490,0,2,False
chemical,gas_class,train,491,491,0,2,False
chemical,gas_class,train,492,492,0,2,False
chemical,gas_class,train,493,493,0,2,False
chemical,gas_class,train,494,494,0,2,False
chemical,gas_class,train,495,495,0,2,False
chemical,gas_class,train,496,496,0,2,False
chemical,gas_class,train,497,497,0,2,False
chemical,gas_class,train,498,498,0,2,False
chemical,gas_class,train,499,499,0,2,False
chemical,gas_class,train,500,500,0,2,False
chemical,gas_class,train,501,501,0,2,False
chemical,gas_class,train,502,502,0,2,False
chemical,gas_class,train,503,503,0,2,False
chemical,gas_class,train,504,504,0,2,False
chemical,gas_class,train,505,505,0,2,False
chemical,gas_class,train,506,506,0,2,False
chemical,gas_class,train,507,507,0,2,False
chemical,gas_class,train,508,508,0,2,False
chemical,gas_class,train,509,509,0,2,False
chemical,gas_class,train,510,510,0,2,False
chemical,gas_class,train,511,511,0,2,False
chemical,gas_class,train,512,512,0,2,False
chemical,gas_class,train,513,513,0,2,False
chemical,gas_class,train,514,514,0,2,False
chemical,gas_class,train,515,515,1,2,False
chemical,gas_class,train,516,516,1,2,False
chemical,gas_class,train,517,517,1,2,False
chemical,gas_class,train,518,518,1,2,False
chemical,gas_class,train,519,519,1,2,False
chemical,gas_class,train,520,520,1,2,False
chemical,gas_class,train,521,521,1,2,False
chemical,gas_class,train,522,522,1,2,False
chemical,gas_class,train,523,523,1,2,False
chemical,gas_class,train,524,524,1,2,False
chemical,gas_class,train,525,525,1,2,False
chemical,gas_class,train,526,526,1,2,False
chemical,gas_class,train,527,527,1,2,False
chemical,gas_class,train,528,528,1,2,False
chemical,gas_class,train,529,529,1,2,False
chemical,gas_class,train,530,530,1,2,False
chemical,gas_class,train,531,531,1,2,False
chemical,gas_class,train,532,532,1,2,False
chemical,gas_class,train,533,533,1,2,False
chemical,gas_class,train,534,534,1,2,False
chemical,gas_class,train,535,535,1,2,False
chemical,gas_class,train,536,536,1,2,False
chemical,gas_class,train,537,537,1,2,False
chemical,gas_class,train,538,538,1,2,False
chemical,gas_class,train,539,539,1,2,False
chemical,gas_class,train,540,540,1,2,False
chemical,gas_class,train,541,541,1,2,False
chemical,gas_class,train,542,542,1,2,False
chemical,gas_class,train,543,543,1,2,False
chemical,gas_class,train,544,544,1,2,False
chemical,gas_class,train,545,545,1,2,False
chemical,gas_class,train,546,546,1,2,False
chemical,gas_class,train,547,547,1,2,False
chemical,gas_class,train,548,548,1,2,False
chemical,gas_class,train,549,549,1,2,False
chemical,gas_class,train,550,550,1,2,False
chemical,gas_class,train,551,551,1,2,False
chemical,gas_class,train,552,552,1,2,False
chemical,gas_class,train,553,553,1,2,False
chemical,gas_class,train,554,554,1,2,False
chemical,gas_class,train,555,555,1,2,False
chemical,gas_class,train,556,556,1,2,False
chemical,gas_class,train,557,557,1,2,False
chemical,gas_class,train,558,558,1,2,False
chemical,gas_class,train,559,559,1,2,False
chemical,gas_class,train,560,560,1,2,False
chemical,gas_class,train,561,561,1,2,False
chemical,gas_class,train,562,562,1,2,False
chemical,gas_class,train,563,563,1,2,False
chemical,gas_class,train,564,564,1,2,False
chemical,gas_class,train,565,565,1,2,False
chemical,gas_class,train,566,566,1,2,False
chemical,gas_class,train,567,567,1,2,False
chemical,gas_class,train,568,568,1,2,False
chemical,gas_class,train,569,569,1,2,False
chemical,gas_class,train,570,570,1,2,False
chemical,gas_class,train,571,571,1,2,False
chemical,gas_class,train,572,572,1,2,False
chemical,gas_class,train,573,573,1,2,False
chemical,gas_class,train,574,574,1,2,False
chemical,gas_class,train,575,575,1,2,False
chemical,gas_class,train,576,576,1,2,False
chemical,gas_class,train,577,577,1,2,False
chemical,gas_class,train,578,578,1,2,False
chemical,gas_class,train,579,579,1,2,False
chemical,gas_class,train,580,580,1,2,False
chemical,gas_class,train,581,581,1,2,False
chemical,gas_class,train,582,582,1,2,False
chemical,gas_class,train,583,583,1,2,False
chemical,gas_class,train,584,584,1,2,False
chemical,gas_class,train,585,585,1,2,False
chemical,gas_class,train,586,586,1,2,False
chemical,gas_class,train,587,587,1,2,False
chemical,gas_class,train,588,588,1,2,False
chemical,gas_class,train,589,589,1,2,False
chemical,gas_class,train,590,590,1,2,False
chemical,gas_class,train,591,591,1,2,False
chemical,gas_class,train,592,592,1,2,False
chemical,gas_class,train,593,593,1,2,False
chemical,gas_class,train,594,594,1,2,False
chemical,gas_class,train,595,595,1,2,False
chemical,gas_class,train,596,596,1,2,False
chemical,gas_class,train,597,597,1,2,False
chemical,gas_class,train,598,598,1,2,False
chemical,gas_class,train,599,599,1,2,False
chemical,gas_class,train,600,600,1,2,False
chemical,gas_class,train,601,601,1,2,False
chemical,gas_class,train,602,602,1,2,False
chemical,gas_class,train,603,603,1,2,False
chemical,gas_class,train,604,604,1,2,False
chemical,gas_class,train,605,605,1,2,False
chemical,gas_class,train,606,606,1,2,False
chemical,gas_class,train,607,607,1,2,False
chemical,gas_class,train,608,608,1,2,False
chemical,gas_class,train,609,609,1,2,False
chemical,gas_class,train,610,610,1,2,False
chemical,gas_class,train,611,611,1,2,False
chemical,gas_class,train,612,612,1,2,False
chemical,gas_class,train,613,613,1,2,False
chemical,gas_class,train,614,614,1,2,False
chemical,gas_class,train,615,615,1,2,False
chemical,gas_class,train,616,616,1,2,False
chemical,gas_class,train,617,617,1,2,False
chemical,gas_class,train,618,618,1,2,False
chemical,gas_class,train,619,619,1,2,False
chemical,gas_class,train,620,620,1,2,False
chemical,gas_class,train,621,621,1,2,False
chemical,gas_class,train,622,622,1,2,False
chemical,gas_class,train,623,623,1,2,False
chemical,gas_class,train,624,624,1,2,False
chemical,gas_class,train,625,625,1,2,False
chemical,gas_class,train,626,626,1,2,False
chemical,gas_class,train,627,627,1,2,False
chemical,gas_class,train,628,628,1,2,False
chemical,gas_class,train,629,629,1,2,False
chemical,gas_class,train,630,630,1,2,False
chemical,gas_class,train,631,631,1,2,False
chemical,gas_class,train,632,632,1,2,False
chemical,gas_class,train,633,633,1,2,False
chemical,gas_class,train,634,634,1,2,False
chemical,gas_class,train,635,635,1,2,False
chemical,gas_class,train,636,636,1,2,False
chemical,gas_class,train,637,637,1,2,False
chemical,gas_class,train,638,638,1,2,False
chemical,gas_class,train,639,639,1,2,False
chemical,gas_class,train,640,640,1,2,False
chemical,gas_class,train,641,641,1,2,False
chemical,gas_class,train,642,642,1,2,False
chemical,gas_class,train,643,643,1,2,False
chemical,gas_class,train,644,644,1,2,False
chemical,gas_class,train,645,645,1,2,False
chemical,gas_class,train,646,646,1,2,False
chemical,gas_class,train,647,647,1,2,False
chemical,gas_class,train,648,648,1,2,False
chemical,gas_class,train,649,649,1,2,False
chemical,gas_class,train,650,650,1,2,False
chemical,gas_class,train,651,651,1,2,False
chemical,gas_class,train,652,652,1,2,False
chemical,gas_class,train,653,653,1,2,False
chemical,gas_class,train,654,654,1,2,False
chemical,gas_class,train,655,655,4,2,False
chemical,gas_class,train,656,656,4,2,False
chemical,gas_class,train,657,657,4,2,False
chemical,gas_class,train,658,658,4,2,False
chemical,gas_class,train,659,659,4,2,False
chemical,gas_class,train,660,660,4,2,False
chemical,gas_class,train,661,661,4,2,False
chemical,gas_class,train,662,662,0,2,False
