test_index,source_index,batch,class_value,affected,mask_group_1,mask_group_2,mask_group_3,mask_group_4,group_1_delta_mean,group_1_delta_l2
81,9627,8,4,False,1,1,1,1,0.0,0.0
82,9628,8,4,False,1,1,1,0,0.0,0.0
83,9629,8,4,False,1,1,1,0,0.0,0.0
84,9630,8,4,False,0,0,0,1,0.0,0.0
85,9631,8,4,True,1,1,1,0,-0.08082545,16.660137
86,9632,8,4,True,1,1,1,1,-0.7032119,15.262274
87,9633,8,4,True,1,0,1,0,-0.88510007,17.797474
88,9634,8,4,False,1,1,1,1,0.0,0.0
89,9635,8,4,True,1,1,0,1,-0.0008286983,18.054657
90,9636,8,4,False,1,1,1,0,0.0,0.0
91,9637,8,4,True,1,1,0,1,-0.5295847,16.814854
92,9638,8,4,True,1,1,1,1,0.15086983,14.707191
93,9639,8,4,True,1,0,1,1,-0.62234145,16.6025
94,9640,8,4,True,0,1,1,1,0.0,0.0
95,9641,8,4,False,0,0,1,0,0.0,0.0
96,9642,8,4,False,1,0,1,0,0.0,0.0
97,9643,8,4,True,0,1,1,1,0.0,0.0
98,9644,8,4,False,0,1,1,1,0.0,0.0
99,9645,8,4,False,1,1,1,1,0.0,0.0
100,9646,8,4,False,1,1,0,0,0.0,0.0
101,9647,8,4,False,1,0,1,1,0.0,0.0
102,9648,8,4,True,1,1,1,0,0.04854101,18.71193
103,9649,8,2,True,1,1,0,1,-0.34494102,16.201202
104,9650,8,2,True,1,1,0,1,-0.29702783,17.592108
105,9651,8,2,False,1,0,1,1,0.0,0.0
106,9652,8,2,True,1,1,1,1,0.49509776,17.50809
107,9653,8,2,True,1,1,1,1,-0.023960859,13.798887
108,9654,8,2,False,1,1,1,1,0.0,0.0
109,9655,8,2,False,1,0,1,1,0.0,0.0
110,9656,8,2,True,1,0,1,1,0.8535924,17.050743
111,9657,8,2,False,1,1,1,0,0.0,0.0
112,9658,8,3,True,1,0,1,1,0.48013192,18.125935
113,9659,8,2,False,1,1,0,1,0.0,0.0
114,9660,8,2,False,1,0,1,1,0.0,0.0
115,9661,8,2,False,0,1,1,1,0.0,0.0
116,9662,8,2,False,0,1,1,1,0.0,0.0
117,9663,8,2,True,0,1,1,1,0.0,0.0
118,9664,8,2,False,0,1,1,1,0.0,0.0
119,9665,8,2,False,0,1,1,0,0.0,0.0
120,9666,8,2,False,1,1,1,1,0.0,0.0
121,9667,8,2,False,1,1,1,1,0.0,0.0
122,9668,8,2,True,0,1,1,1,0.0,0.0
123,9669,8,2,False,1,1,0,1,0.0,0.0
124,9670,8,2,True,1,1,1,1,0.6003325,16.73022
125,9671,8,2,True,0,1,1,1,0.0,0.0
126,9672,8,2,False,1,1,1,1,0.0,0.0
127,9673,8,3,True,1,1,1,1,0.61980724,18.743294
128,9674,8,3,True,0,0,1,0,0.0,0.0
129,9675,8,3,False,0,0,1,1,0.0,0.0
130,9676,8,3,True,1,1,1,1,1.1929339,23.900053
131,9677,8,2,False,1,1,1,1,0.0,0.0
132,9678,8,2,True,0,1,1,0,0.0,0.0
133,9679,8,4,False,0,1,1,1,0.0,0.0
134,9680,8,4,True,1,1,1,0,-0.84375644,15.848079
135,9681,8,4,True,0,1,1,1,0.0,0.0
136,9682,8,4,False,1,1,1,1,0.0,0.0
137,9683,8,4,False,0,1,1,1,0.0,0.0
138,9684,8,4,False,1,1,1,1,0.0,0.0
139,9685,8,3,True,1,0,1,1,0.5812533,19.799232
140,9686,8,3,False,1,1,1,1,0.0,0.0
141,9687,8,4,False,1,1,1,1,0.0,0.0
142,9688,8,4,False,1,1,0,1,0.0,0.0
143,9689,8,4,True,1,0,1,1,-0.057018965,15.011549
144,9690,8,3,False,0,1,1,1,0.0,0.0
145,9691,8,3,False,0,0,1,1,0.0,0.0
146,9692,8,3,True,1,1,0,1,-0.891,17.049028
147,9693,8,4,True,1,1,1,0,-0.3601324,13.272132
148,9694,8,4,False,0,1,1,1,0.0,0.0
149,9695,8,4,True,0,1,1,1,0.0,0.0
150,9696,8,4,True,0,1,1,1,0.0,0.0
151,9697,8,4,False,1,1,1,1,0.0,0.0
152,9698,8,3,False,1,1,1,1,0.0,0.0
153,9699,8,4,False,1,1,1,1,0.0,0.0
154,9700,8,4,True,1,1,1,1,0.0059851706,13.664311
155,9701,8,4,False,1,1,1,1,0.0,0.0
156,9702,8,3,False,0,0,1,1,0.0,0.0
157,9703,8,4,False,1,0,0,1,0.0,0.0
158,9704,8,4,False,1,1,0,1,0.0,0.0
159,9705,8,4,False,1,1,1,1,0.0,0.0
160,9706,8,4,True,1,0,1,1,0.004586816,17.509386
161,9707,8,4,False,1,1,0,1,0.0,0.0
162,9708,8,4,False,0,1,1,1,0.0,0.0
163,9709,8,3,False,1,1,0,1,0.0,0.0
164,9710,8,4,True,1,0,1,1,0.48745638,15.013147
165,9711,8,3,True,1,1,1,0,1.6485162,18.550299
166,9712,8,4,False,0,1,1,1,0.0,0.0
167,9713,8,3,True,1,0,1,1,-0.9636117,18.430193
168,9714,8,4,False,1,0,1,0,0.0,0.0
169,9715,8,3,True,1,0,1,1,-0.34643626,19.29472
170,9716,8,4,True,1,1,1,0,-0.35586324,17.250933
171,9717,8,3,False,1,1,1,1,0.0,0.0
172,9718,8,4,True,1,0,1,1,-0.08558886,14.805146
173,9719,8,3,True,1,1,1,0,-0.08295484,18.08361
174,9720,8,4,False,1,0,0,1,0.0,0.0
175,9721,8,3,False,0,1,1,1,0.0,0.0
176,9722,8,4,False,0,0,1,1,0.0,0.0
177,9723,8,3,False,1,1,0,0,0.0,0.0
178,9724,8,4,False,1,1,1,1,0.0,0.0
179,9725,8,4,False,0,1,0,1,0.0,0.0
180,9726,8,4,True,1,1,1,1,0.23909009,20.154577
181,9727,8,3,True,1,1,1,0,0.78169084,16.820932
182,9728,8,4,False,1,1,1,1,0.0,0.0
183,9729,8,3,True,1,1,0,0,0.28264058,17.265875
184,9730,8,4,True,1,1,1,0,-0.5017031,16.250574
185,9731,8,3,True,1,1,1,1,-0.3061952,17.660719
186,9732,8,4,True,1,1,1,1,-0.9223086,15.350069
187,9733,8,3,False,1,1,1,1,0.0,0.0
188,9734,8,4,False,1,1,1,1,0.0,0.0
189,9735,8,3,False,0,0,1,1,0.0,0.0
190,9736,8,4,False,1,1,0,1,0.0,0.0
191,9737,8,3,True,1,1,1,0,-0.23932575,19.255463
192,9738,8,4,True,1,1,1,1,0.5758599,15.492809
193,9739,8,3,False,1,1,1,1,0.0,0.0
194,9740,8,4,True,1,1,1,1,0.67506444,16.159325
195,9741,8,3,False,1,1,1,1,0.0,0.0
196,9742,8,4,False,1,1,1,1,0.0,0.0
197,9743,8,3,False,1,0,0,0,0.0,0.0
198,9744,8,4,False,1,1,1,1,0.0,0.0
199,9745,8,3,False,1,1,1,0,0.0,0.0
200,9746,8,4,False,0,1,1,1,0.0,0.0
201,9747,8,5,True,1,0,1,1,-0.4711813,17.541063
202,9748,8,2,True,0,1,1,1,0.0,0.0
203,9749,8,5,True,1,1,1,1,-0.53917116,18.254484
204,9750,8,2,True,1,1,1,1,-0.6038212,17.122808
205,9751,8,5,False,1,1,1,1,0.0,0.0
206,9752,8,2,False,1,1,1,1,0.0,0.0
207,9753,8,5,False,1,1,1,1,0.0,0.0
208,9754,8,2,False,1,1,1,1,0.0,0.0
209,9755,8,5,True,1,1,1,0,0.4179174,16.717163
210,9756,8,2,True,1,0,1,1,-0.27380574,15.661045
211,9757,8,5,False,1,1,1,1,0.0,0.0
212,9758,8,2,False,1,0,0,1,0.0,0.0
213,9759,8,5,False,1,1,1,1,0.0,0.0
214,9760,8,2,False,1,0,1,1,0.0,0.0
215,9761,8,5,False,1,0,1,1,0.0,0.0
216,9762,8,2,True,1,1,1,1,-0.117512226,21.090193
217,9763,8,5,False,1,1,0,0,0.0,0.0
218,9764,8,2,False,1,1,0,1,0.0,0.0
219,9765,8,5,True,1,0,1,1,0.048549354,17.787928
220,9766,8,2,True,1,1,1,1,0.11490646,16.144785
221,9767,8,5,False,0,1,1,1,0.0,0.0
222,9768,8,5,False,1,1,1,1,0.0,0.0
223,9769,8,2,False,0,1,1,0,0.0,0.0
224,9770,8,5,False,1,0,1,1,0.0,0.0
225,9771,8,2,True,0,1,0,1,0.0,0.0
226,9772,8,5,True,1,1,1,1,-0.005348712,16.363844
227,9773,8,2,False,1,1,1,1,0.0,0.0
228,9774,8,5,False,1,1,1,0,0.0,0.0
229,9775,8,2,True,0,1,0,1,0.0,0.0
230,9776,8,2,False,1,1,1,1,0.0,0.0
231,9777,8,5,False,0,1,1,1,0.0,0.0
232,9778,8,5,False,1,1,0,1,0.0,0.0
233,9779,8,5,True,1,1,1,1,0.31091487,17.722868
234,9780,8,0,False,1,1,1,1,0.0,0.0
235,9781,8,1,False,1,0,1,1,0.0,0.0
236,9782,8,0,False,1,1,1,1,0.0,0.0
237,9783,8,1,True,1,1,0,1,0.33049482,18.445202
238,9784,8,0,False,1,1,1,0,0.0,0.0
239,9785,8,1,False,1,1,1,0,0.0,0.0
240,9786,8,0,False,1,1,0,1,0.0,0.0
241,9787,8,1,False,1,1,1,1,0.0,0.0
242,9788,8,0,True,1,1,1,1,0.03253375,17.4453
243,9789,8,1,True,0,0,1,1,0.0,0.0
244,9790,8,0,True,1,1,1,1,-0.29864615,20.93513
245,9791,8,1,True,0,1,1,1,0.0,0.0
246,9792,8,0,False,1,0,0,0,0.0,0.0
247,9793,8,1,True,1,0,0,1,-0.5904082,15.066814
248,9794,8,0,True,1,1,1,1,-0.27775615,13.396107
249,9795,8,1,False,0,1,1,1,0.0,0.0
250,9796,8,0,False,1,0,1,1,0.0,0.0
251,9797,8,1,True,1,1,1,1,0.20774634,22.534634
252,9798,8,0,False,1,1,1,1,0.0,0.0
253,9799,8,1,True,0,1,1,1,0.0,0.0
254,9800,8,0,False,1,0,1,1,0.0,0.0
255,9801,8,1,False,1,1,1,0,0.0,0.0
256,9802,8,0,False,0,1,1,1,0.0,0.0
257,9803,8,1,False,1,1,1,1,0.0,0.0
258,9804,8,0,False,0,1,1,0,0.0,0.0
259,9805,8,1,True,0,1,1,0,0.0,0.0
260,9806,8,0,False,1,1,1,1,0.0,0.0
261,9807,8,1,True,1,1,1,1,-1.1572926,17.104115
262,9808,8,0,True,1,1,1,1,0.3423847,20.50106
263,9809,8,1,True,1,0,1,0,-0.09472872,18.69508
264,9810,8,0,False,1,1,1,1,0.0,0.0
265,9811,8,1,True,1,1,1,0,-0.070828736,15.01075
266,9812,8,0,True,0,1,1,1,0.0,0.0
267,9813,8,1,False,1,1,0,1,0.0,0.0
268,9814,8,0,True,1,1,1,0,-0.39258572,16.424702
269,9815,8,1,True,1,1,1,1,0.29915756,16.938162
270,9816,8,0,False,1,1,1,1,0.0,0.0
271,9817,8,1,True,0,1,1,1,0.0,0.0
272,9818,8,0,True,1,0,0,1,-0.47524276,12.9958515
273,9819,8,1,False,1,1,1,1,0.0,0.0
274,9820,8,0,False,0,1,1,0,0.0,0.0
275,9821,8,1,True,1,1,1,1,0.54871356,17.49861
276,9822,8,0,True,1,1,1,1,-0.21160258,13.593733
277,9823,8,1,False,1,1,1,1,0.0,0.0
278,9824,8,0,True,1,1,1,1,0.62099016,17.566887
279,9825,8,1,False,1,0,0,1,0.0,0.0
280,9826,8,0,False,1,1,1,1,0.0,0.0
281,9827,8,1,False,1,1,1,1,0.0,0.0
282,9828,8,0,False,1,1,1,0,0.0,0.0
283,9829,8,1,False,1,1,1,0,0.0,0.0
284,9830,8,0,False,1,1,1,0,0.0,0.0
285,9831,8,1,False,1,1,1,1,0.0,0.0
286,9832,8,0,True,1,1,1,1,-0.48397905,17.73164
287,9833,8,1,True,1,1,1,1,-0.043505013,15.569665
288,9834,8,0,True,0,1,1,1,0.0,0.0
289,9835,8,1,True,1,1,1,1,1.0074408,18.609663
290,9836,8,0,False,0,1,0,1,0.0,0.0
291,9837,8,1,False,1,1,1,1,0.0,0.0
292,9838,8,0,False,1,0,0,1,0.0,0.0
293,9839,8,1,False,1,1,0,1,0.0,0.0
294,9840,9,4,True,1,0,1,1,-0.81041217,18.357845
295,9841,9,3,True,1,1,1,1,-0.4070145,18.627872
296,9842,9,4,True,1,1,1,1,0.07579276,14.966107
297,9843,9,3,True,1,1,1,1,0.04229133,16.932802
298,9844,9,4,False,0,1,1,1,0.0,0.0
299,9845,9,3,False,1,1,1,1,0.0,0.0
300,9846,9,4,True,1,0,0,1,0.37928748,17.540056
301,9847,9,3,False,1,1,1,1,0.0,0.0
302,9848,9,4,True,0,1,1,1,0.0,0.0
303,9849,9,3,False,1,1,1,1,0.0,0.0
304,9850,9,4,True,1,0,1,0,-0.91562164,18.285181
305,9851,9,3,True,1,1,0,1,0.5606043,20.454355
306,9852,9,4,False,1,1,1,1,0.0,0.0
307,9853,9,3,False,0,1,1,1,0.0,0.0
308,9854,9,4,False,0,1,0,1,0.0,0.0
309,9855,9,3,False,1,1,1,1,0.0,0.0
310,9856,9,3,True,1,1,1,1,0.8974798,13.744053
311,9857,9,4,False,1,0,1,1,0.0,0.0
312,9858,9,4,True,1,0,0,1,0.1380665,16.704468
313,9859,9,3,True,1,1,1,1,0.18363357,18.112453
314,9860,9,4,False,1,1,1,0,0.0,0.0
315,9861,9,3,True,1,0,1,1,-0.7607424,21.600815
316,9862,9,4,True,1,1,0,1,-0.39159432,14.815235
317,9863,9,3,False,1,1,1,1,0.0,0.0
318,9864,9,4,False,1,1,1,1,0.0,0.0
319,9865,9,3,False,1,1,1,1,0.0,0.0
320,9866,9,4,False,0,1,0,1,0.0,0.0
321,9867,9,4,True,1,1,1,1,0.14082757,18.089876
322,9868,9,3,True,1,0,1,1,0.1847483,16.659416
323,9869,9,4,True,1,0,1,1,-0.022659749,13.66364
324,9870,9,3,False,1,1,0,0,0.0,0.0
325,9871,9,4,False,1,1,1,0,0.0,0.0
326,9872,9,3,False,1,1,1,1,0.0,0.0
327,9873,9,4,False,1,1,1,1,0.0,0.0
328,9874,9,3,False,1,1,1,1,0.0,0.0
329,9875,9,4,True,1,1,1,1,0.07590553,17.791727
330,9876,9,3,True,1,1,1,1,0.49464768,14.539441
331,9877,9,4,False,1,1,1,0,0.0,0.0
332,9878,9,3,True,1,1,1,1,-0.4240085,14.878998
333,9879,9,4,True,1,1,1,1,-1.1665747,22.390486
334,9880,9,3,True,1,1,1,1,0.74878144,18.563517
335,9881,9,4,False,0,1,1,1,0.0,0.0
336,9882,9,4,False,0,1,1,1,0.0,0.0
337,9883,9,3,False,1,1,1,1,0.0,0.0
338,9884,9,3,True,1,1,1,1,0.30858237,17.995316
339,9885,9,4,False,1,1,1,1,0.0,0.0
340,9886,9,3,False,1,1,1,0,0.0,0.0
341,9887,9,4,False,1,1,1,1,0.0,0.0
342,9888,9,3,True,1,0,0,0,0.24493524,17.162386
343,9889,9,4,False,1,1,1,1,0.0,0.0
344,9890,9,3,True,1,1,1,1,0.0697258,19.683622
345,9891,9,4,False,1,0,1,1,0.0,0.0
346,9892,9,4,False,1,1,1,1,0.0,0.0
347,9893,9,5,False,1,1,0,0,0.0,0.0
348,9894,9,0,True,1,1,0,1,-0.11341764,17.553673
349,9895,9,0,True,0,1,1,1,0.0,0.0
350,9896,9,0,True,1,1,1,1,-0.6476748,19.000961
351,9897,9,0,False,0,1,1,1,0.0,0.0
352,9898,9,0,False,1,1,0,1,0.0,0.0
353,9899,9,0,True,1,0,1,1,0.7133927,16.261578
354,9900,9,0,False,1,1,1,1,0.0,0.0
355,9901,9,0,False,1,1,1,1,0.0,0.0
356,9902,9,0,False,1,1,1,0,0.0,0.0
357,9903,9,0,False,1,1,1,1,0.0,0.0
358,9904,9,0,True,1,1,0,1,0.2340948,13.521263
359,9905,9,0,True,1,1,1,1,0.34479186,14.105385
360,9906,9,0,False,1,1,1,0,0.0,0.0
361,9907,9,0,False,1,1,1,1,0.0,0.0
362,9908,9,0,True,1,0,1,0,0.14644271,18.78697
363,9909,9,0,False,1,1,1,0,0.0,0.0
364,9910,9,0,False,0,1,1,1,0.0,0.0
365,9911,9,0,False,1,1,1,0,0.0,0.0
366,9912,9,0,True,1,1,1,0,-0.98559946,14.230296
367,9913,9,0,True,0,1,1,1,0.0,0.0
368,9914,9,0,False,1,1,1,1,0.0,0.0
369,9915,9,0,False,0,1,1,1,0.0,0.0
370,9916,9,0,False,1,1,0,1,0.0,0.0
371,9917,9,0,True,1,1,1,1,-0.45209903,16.69369
372,9918,9,0,True,1,1,1,1,-0.048241913,14.23057
373,9919,9,0,True,1,0,1,0,0.5548191,14.922482
374,9920,9,0,False,0,1,1,0,0.0,0.0
375,9921,9,0,True,1,1,1,0,0.22036958,13.154308
376,9922,9,0,False,1,1,1,1,0.0,0.0
377,9923,9,0,True,1,1,1,1,-0.21702176,16.71289
378,9924,9,0,True,1,1,1,0,0.21895877,15.891264
379,9925,9,0,True,0,0,1,1,0.0,0.0
380,9926,9,0,False,1,0,1,1,0.0,0.0
381,9927,9,0,True,1,0,1,1,1.4638348,19.352057
382,9928,9,0,True,1,1,1,1,0.491023,15.035305
383,9929,9,0,False,1,1,1,1,0.0,0.0
384,9930,9,0,True,1,0,1,1,-0.09961146,16.44296
385,9931,9,0,False,0,0,1,1,0.0,0.0
386,9932,9,0,False,1,1,0,1,0.0,0.0
387,9933,9,0,True,1,1,1,1,-0.8552191,17.419771
388,9934,9,0,False,1,0,1,1,0.0,0.0
389,9935,9,0,False,1,1,1,0,0.0,0.0
390,9936,9,0,False,1,1,0,0,0.0,0.0
391,9937,9,0,True,0,1,1,1,0.0,0.0
392,9938,9,0,True,1,0,1,1,-0.10315992,15.108547
393,9939,9,0,True,1,1,1,0,0.52750874,14.973942
394,9940,9,0,True,1,1,1,1,-0.009761661,18.57081
395,9941,9,0,True,0,1,1,1,0.0,0.0
396,9942,9,0,True,1,1,1,0,0.5489201,18.463936
397,9943,9,0,True,1,1,1,0,0.38413283,14.630098
398,9944,9,0,True,1,0,0,1,0.65280163,18.609179
399,9945,9,0,True,1,1,1,1,0.3387994,13.181303
400,9946,9,0,True,1,1,1,0,-0.15879837,14.876601
401,9947,9,0,True,0,1,0,1,0.0,0.0
402,9948,9,0,False,1,1,1,1,0.0,0.0
403,9949,9,0,False,1,1,0,1,0.0,0.0
404,9950,9,0,False,1,1,1,1,0.0,0.0
405,9951,9,0,True,1,1,0,1,0.65426016,18.515186
406,9952,9,0,True,1,1,1,1,0.15379468,15.4228525
407,9953,9,0,True,1,1,1,1,-0.22888488,13.123714
408,9954,9,0,False,0,1,1,1,0.0,0.0
409,9955,9,1,True,1,0,0,1,-0.19843215,17.887121
410,9956,9,1,True,0,1,1,1,0.0,0.0
411,9957,9,1,True,0,1,1,1,0.0,0.0
412,9958,9,1,False,1,1,0,0,0.0,0.0
413,9959,9,1,True,0,1,0,0,0.0,0.0
414,9960,9,1,False,1,1,1,0,0.0,0.0
415,9961,9,1,False,0,1,1,1,0.0,0.0
416,9962,9,1,False,1,1,1,1,0.0,0.0
417,9963,9,1,True,1,1,1,1,0.16629422,18.18477
418,9964,9,1,False,1,1,1,0,0.0,0.0
419,9965,9,1,False,1,1,0,0,0.0,0.0
420,9966,9,1,False,1,1,1,0,0.0,0.0
421,9967,9,1,True,1,1,1,0,0.6620297,16.226099
422,9968,9,1,False,0,1,1,1,0.0,0.0
423,9969,9,1,False,1,1,1,1,0.0,0.0
424,9970,9,1,False,1,1,1,0,0.0,0.0
425,9971,9,1,True,0,0,1,1,0.0,0.0
426,9972,9,1,True,1,1,1,0,-0.05154542,18.120794
427,9973,9,1,True,0,0,1,1,0.0,0.0
428,9974,9,1,False,1,1,1,1,0.0,0.0
429,9975,9,1,False,1,1,0,1,0.0,0.0
430,9976,9,1,True,0,1,1,0,0.0,0.0
431,9977,9,1,False,0,1,1,1,0.0,0.0
432,9978,9,1,False,1,0,1,0,0.0,0.0
433,9979,9,1,True,1,1,1,1,0.7027557,19.419804
434,9980,9,1,False,1,1,1,1,0.0,0.0
435,9981,9,1,False,1,1,1,1,0.0,0.0
436,9982,9,1,True,0,1,1,1,0.0,0.0
437,9983,9,1,False,0,0,0,1,0.0,0.0
438,9984,9,1,True,1,0,0,1,-0.1619288,14.708826
439,9985,9,1,True,0,1,1,1,0.0,0.0
440,9986,9,1,False,1,1,1,1,0.0,0.0
441,9987,9,1,False,1,1,1,1,0.0,0.0
442,9988,9,1,False,1,0,1,1,0.0,0.0
443,9989,9,1,False,1,1,1,0,0.0,0.0
444,9990,9,1,False,1,1,1,1,0.0,0.0
445,9991,9,1,False,1,1,1,1,0.0,0.0
446,9992,9,1,False,1,0,0,1,0.0,0.0
447,9993,9,1,True,1,1,1,1,-0.6891072,17.137197
448,9994,9,1,False,1,1,1,1,0.0,0.0
449,9995,9,1,False,0,1,1,0,0.0,0.0
450,9996,9,1,False,1,0,1,1,0.0,0.0
451,9997,9,1,True,1,0,1,0,-0.13751611,15.994615
452,9998,9,1,True,1,1,1,1,0.111997515,16.63244
453,9999,9,1,False,1,0,1,0,0.0,0.0
454,10000,9,1,False,1,1,1,1,0.0,0.0
455,10001,9,1,False,0,1,1,0,0.0,0.0
456,10002,9,1,True,1,1,1,1,0.47647637,15.096638
457,10003,9,1,True,1,1,0,1,-0.13821545,12.163986
458,10004,9,1,False,1,0,0,1,0.0,0.0
459,10005,9,1,True,0,1,0,0,0.0,0.0
460,10006,9,1,True,1,0,1,1,0.08357647,17.646635
461,10007,9,1,False,1,1,1,1,0.0,0.0
462,10008,9,1,True,1,1,1,0,-0.5772027,16.105734
463,10009,9,1,True,1,1,1,1,0.28850532,16.707682
464,10010,9,2,True,1,1,1,1,0.31144613,15.62161
465,10011,9,2,False,1,1,1,1,0.0,0.0
466,10012,9,2,False,1,0,1,1,0.0,0.0
467,10013,9,2,False,1,1,0,1,0.0,0.0
468,10014,9,2,False,0,1,1,1,0.0,0.0
469,10015,9,2,False,1,1,1,0,0.0,0.0
470,10016,9,2,True,1,1,0,1,-0.35441458,17.862309
471,10017,9,2,False,1,1,0,1,0.0,0.0
472,10018,9,2,True,1,1,0,1,0.03739971,17.101456
473,10019,9,2,False,1,1,1,1,0.0,0.0
474,10020,9,2,True,1,1,1,1,0.08260948,14.964533
475,10021,9,2,False,1,1,1,1,0.0,0.0
476,10022,9,2,False,0,1,1,0,0.0,0.0
477,10023,9,2,True,1,1,1,1,0.22380483,16.845285
478,10024,9,2,False,1,1,1,1,0.0,0.0
479,10025,9,2,True,1,0,1,1,0.16162018,14.845079
480,10026,9,2,False,1,1,0,1,0.0,0.0
481,10027,9,2,False,1,1,1,1,0.0,0.0
482,10028,9,2,False,0,1,1,1,0.0,0.0
483,10029,9,2,True,1,1,1,1,-0.63123584,14.559894
484,10030,9,2,False,1,1,0,0,0.0,0.0
485,10031,9,2,True,1,1,0,1,-1.4708431,17.203344
486,10032,9,2,False,1,1,1,0,0.0,0.0
487,10033,9,2,False,0,1,1,1,0.0,0.0
488,10034,9,2,False,1,1,1,1,0.0,0.0
489,10035,9,2,True,1,1,1,0,0.0013747215,15.782308
490,10036,9,2,False,1,1,1,1,0.0,0.0
491,10037,9,2,False,0,1,1,1,0.0,0.0
